====================================================================================================
CuteRPG_Interior_B.png Analysis
Image size: (768, 768), Grid: 16x16, Cell size: 48px
====================================================================================================

Col Row |  Transp% |        Class | Dominant Colors
----------------------------------------------------------------------------------------------------
  0   0 |   100.0% |        empty |
  1   0 |     0.0% |     autotile |
  2   0 |   100.0% |        empty |
  3   0 |     1.2% |     autotile |
  4   0 |     1.2% |     autotile |
  5   0 |    68.8% |   STANDALONE | #b28759 (olive, 75%), #cca97a (yellow, 25%)
  6   0 |    71.9% |   STANDALONE | #ffff99 (mixed, 19%), #e5bf00 (olive, 19%), #d4ff00 (yellow-green, 19%)
  7   0 |    88.3% |   STANDALONE | #fffbcc (yellow, 40%), #e5e0a0 (yellow, 23%), #b2ac6b (yellow, 23%)
  8   0 |    91.8% |        empty |
  9   0 |    91.8% |        empty |
 10   0 |    91.8% |        empty |
 11   0 |    91.8% |        empty |
 12   0 |    91.8% |        empty |
 13   0 |    91.8% |        empty |
 14   0 |    88.3% |   STANDALONE | #fffbcc (yellow, 40%), #e5e0a0 (yellow, 23%), #b2ac6b (yellow, 23%)
 15   0 |    71.9% |   STANDALONE | #ffff99 (mixed, 19%), #d4ff00 (yellow-green, 19%), #e5bf00 (olive, 19%)

  0   1 |     0.0% |     autotile |
  1   1 |     0.0% |     autotile |
  2   1 |     0.0% |     autotile |
  3   1 |     0.0% |     autotile |
  4   1 |     0.0% |     autotile |
  5   1 |     0.0% |     autotile |
  6   1 |    59.4% |   STANDALONE | #fffbcc (yellow, 38%), #e5e0a0 (yellow, 15%), #ffff99 (mixed, 12%)
  7   1 |    72.7% |   STANDALONE | #fffbcc (yellow, 57%), #e5e0a0 (yellow, 23%), #b2ac6b (yellow, 10%)
  8   1 |    67.6% |   STANDALONE | #fffbcc (yellow, 14%), #5b6661 (dark gray, 12%), #d8d8d8 (light gray, 12%)
  9   1 |    76.2% |   STANDALONE | #fffbcc (yellow, 20%), #5b6661 (dark gray, 16%), #d8d8d8 (light gray, 16%)
 10   1 |    87.9% |   STANDALONE | #5b6661 (dark gray, 32%), #d8d8d8 (light gray, 32%), #727f79 (gray, 16%)
 11   1 |    87.9% |   STANDALONE | #5b6661 (dark gray, 32%), #d8d8d8 (light gray, 32%), #727f79 (gray, 16%)
